Date,AHT.L,RTO.L,ABF.L,STJ.L,BATS.L,SMT.L,PRU.L,SMIN.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,TSCO.L,RR.L,ANTO.L
2004-08-03,42.66210174560547,143.5,624.0,187.5,844.0,57.70000076293945,355.96380615234375,1071.7493896484375,583.1536254882812,726.0,215.25,142.3939971923828,564.0,324.58319091796875,82.8750991821289,200.60000610351562
2004-08-04,41.04779815673828,142.5,622.5,184.0,836.0,57.45000076293945,350.6283874511719,1061.9993896484375,594.9998168945312,725.5,213.75,142.15570068359375,559.0,328.6997985839844,82.53189849853516,199.3000030517578
2004-08-05,41.739601135253906,148.5,622.0,184.5,839.5,57.400001525878906,348.79681396484375,1067.2493896484375,585.8458862304688,732.0,217.25,142.98980712890625,563.0,331.2331848144531,84.07620239257812,200.39999389648438
2004-08-06,41.27840042114258,146.25,619.5,180.0,831.5,57.0,340.8334045410156,1030.4993896484375,571.8458862304688,733.0,211.0,139.7725067138672,544.5,326.16650390625,81.07340240478516,197.5
2004-08-09,40.12540054321289,145.5,617.0,179.5,830.5,56.20000076293945,330.0827941894531,1033.4993896484375,569.1536254882812,732.0,203.25,139.17669677734375,535.5,322.0498046875,79.01439666748047,194.0
2004-08-10,38.9724006652832,147.75,622.0,174.0,830.0,56.349998474121094,340.2760009765625,1037.2493896484375,571.8458862304688,738.0,199.75,140.36830139160156,554.0,326.7998046875,78.41390228271484,197.6999969482422
2004-08-11,38.280601501464844,151.5,625.0,175.0,830.5,56.29999923706055,341.2315979003906,1029.7493896484375,574.5382080078125,733.0,201.75,140.60659790039062,552.5,324.8998107910156,77.72750091552734,194.0
2004-08-12,38.741798400878906,152.75,622.0,172.0,829.0,56.70000076293945,339.0813903808594,1036.4993896484375,574.5382080078125,733.0,201.5,140.96409606933594,554.5,326.4831848144531,77.64179992675781,196.6999969482422
2004-08-13,40.58660125732422,152.75,617.5,167.0,822.0,56.400001525878906,335.4978942871094,1036.4993896484375,577.7689819335938,730.0,200.75,141.79820251464844,560.5,327.4331970214844,78.24230194091797,198.1999969482422
2004-08-16,42.8927001953125,154.0,609.0,166.5,819.0,56.20000076293945,341.86859130859375,1048.4993896484375,587.4613037109375,729.0,207.5,145.3730010986328,567.5,331.5498046875,80.30130004882812,201.3000030517578
2004-08-17,43.815101623535156,157.0,613.5,170.5,815.0,56.650001525878906,344.8150939941406,1057.4993896484375,582.6151123046875,725.5,211.0,147.51780700683594,581.5,333.1332092285156,80.38710021972656,200.6999969482422
2004-08-18,44.73749923706055,153.5,614.5,168.0,817.0,56.45000076293945,340.0369873046875,1048.4993896484375,580.9998168945312,728.0,210.0,148.7093963623047,586.5,330.91650390625,79.61499786376953,197.0
2004-08-19,44.506900787353516,153.75,609.0,166.75,815.5,56.95000076293945,340.4352111816406,1041.7493896484375,582.6151123046875,730.0,204.5,148.94769287109375,595.0,334.3998107910156,78.8427963256836,201.6999969482422
2004-08-20,44.73749923706055,153.75,606.5,167.0,812.0,57.0,340.6741027832031,1040.9993896484375,580.9998168945312,737.5,200.0,147.51780700683594,585.0,334.0830993652344,78.0707015991211,200.3000030517578
2004-08-23,45.429298400878906,155.25,605.0,170.0,824.0,57.75,342.8241882324219,1052.2493896484375,589.0767211914062,739.5,202.25,150.49679565429688,597.0,336.93310546875,79.18599700927734,199.3000030517578
2004-08-24,44.27629852294922,154.5,609.0,165.5,822.5,57.70000076293945,342.42608642578125,1047.7493896484375,590.1536254882812,740.0,202.25,150.49679565429688,602.5,335.66650390625,80.12969970703125,197.1999969482422
2004-08-25,44.73749923706055,153.0,612.5,167.75,821.0,58.79999923706055,344.0187072753906,1040.2493896484375,589.0767211914062,716.0,203.5,150.735107421875,595.0,337.5664978027344,79.61499786376953,197.0
2004-08-27,44.27629852294922,152.0,618.0,172.25,836.5,59.349998474121094,353.5747985839844,1048.4993896484375,594.9998168945312,738.5,201.0,154.07150268554688,614.0,340.09979248046875,80.04389953613281,198.0
2004-08-30,44.506900787353516,152.0,618.0,172.25,836.5,59.349998474121094,326.81781005859375,1048.4993896484375,594.9998168945312,738.5,201.0,154.07150268554688,614.0,340.09979248046875,80.04389953613281,198.0
2004-08-31,44.27629852294922,150.25,625.5,166.0,837.5,59.25,323.15460205078125,1112.2493896484375,595.5382080078125,737.0,200.5,150.49679565429688,609.5,336.93310546875,79.5291976928711,199.60000610351562
2004-09-01,44.506900787353516,149.25,629.5,165.0,842.0,59.849998474121094,353.17669677734375,1064.9993896484375,591.7689819335938,744.5,205.0,151.33090209960938,617.0,333.7665100097656,80.38710021972656,199.1999969482422
2004-09-02,44.506900787353516,150.25,629.0,162.0,840.0,60.20000076293945,355.1675109863281,1068.7493896484375,595.5382080078125,743.5,207.25,152.2841033935547,630.0,336.2998046875,81.50240325927734,200.0
2004-09-03,48.19660186767578,150.5,629.5,168.0,842.0,60.900001525878906,363.92718505859375,1067.2493896484375,601.9996948242188,739.5,208.75,151.92669677734375,640.5,340.41650390625,81.1592025756836,204.5
2004-09-06,49.11899948120117,152.75,634.0,175.25,841.0,61.5,365.1217956542969,1076.9993896484375,605.7689819335938,740.5,209.3000030517578,152.5225067138672,647.5,343.2665100097656,82.1886978149414,207.3000030517578
2004-09-07,49.11899948120117,152.5,638.0,175.0,833.0,61.79999923706055,365.1217956542969,1086.7493896484375,603.0767211914062,739.0,213.0,154.30979919433594,651.0,340.09979248046875,82.36029815673828,207.1999969482422
2004-09-08,48.19660186767578,153.25,641.5,175.5,831.0,61.900001525878906,363.36981201171875,1076.9993896484375,611.6920776367188,739.0,211.75,155.50140380859375,663.0,338.1997985839844,82.78929901123047,208.60000610351562
2004-09-09,47.965999603271484,150.5,643.5,174.0,831.5,61.599998474121094,362.3345947265625,1069.4993896484375,618.1536254882812,741.5,213.25,155.85890197753906,650.5,341.0498046875,80.81610107421875,207.60000610351562
2004-09-10,48.88840103149414,149.5,650.0,173.0,823.5,61.599998474121094,363.1308898925781,1079.2493896484375,643.9996948242188,743.0,215.5,157.64630126953125,638.0,343.2665100097656,82.1886978149414,210.5
2004-09-13,51.65570068359375,151.5,656.5,175.0,819.0,61.900001525878906,371.8905944824219,1084.4993896484375,637.5382080078125,741.5,219.0,158.83790588378906,647.5,340.73309326171875,83.38980102539062,210.0
2004-09-14,50.96390151977539,152.75,657.0,173.25,809.5,61.650001525878906,371.09429931640625,1085.2493896484375,635.3843994140625,745.5,218.25,154.07150268554688,645.0,341.68310546875,84.50509643554688,211.1999969482422
2004-09-15,51.65570068359375,151.25,657.5,172.75,808.5,61.70000076293945,340.4352111816406,1149.8994140625,634.307373046875,744.5,216.25,154.9055938720703,653.5,342.6330871582031,84.50509643554688,211.10000610351562
