Date,RADL3.SA,BBAS3.SA,PETR4.SA,USIM5.SA,LAME4.SA,PETR3.SA,OIBR4.SA,UGPA3.SA,BBDC3.SA,ENBR3.SA,ITSA4.SA,CCRO3.SA,CMIG4.SA,SBSP3.SA,LREN3.SA,BRKM5.SA
2011-04-04,2.700000047683716,29.899999618530273,28.610000610351562,20.469999313354492,7.18986177444458,32.79999923706055,153.3000030517578,10.0,10.842144012451172,13.37674331665039,7.046311855316162,12.032500267028809,14.495112419128418,15.733332633972168,9.269420623779297,22.780000686645508
2011-04-06,2.5199999809265137,29.799999237060547,28.3700008392334,19.739999771118164,7.215357780456543,32.08000183105469,154.5,10.0,10.822644233703613,13.4096097946167,7.018743991851807,12.25,14.819191932678223,15.716666221618652,9.066115379333496,22.200000762939453
2011-04-07,2.5199999809265137,29.75,28.0,19.770000457763672,7.11337423324585,31.649999618530273,154.39999389648438,10.0,10.881144523620605,13.16310977935791,6.980148792266846,12.25,14.511499404907227,15.5,9.041321754455566,21.989999771118164
2011-04-08,2.5,29.389999389648438,28.010000228881836,19.719999313354492,6.919604778289795,31.469999313354492,154.0,10.0,10.686141967773438,12.686543464660645,6.858850955963135,12.1225004196167,14.298826217651367,15.350000381469727,8.905784606933594,22.309999465942383
2011-04-11,2.503999948501587,29.0,27.489999771118164,19.030000686645508,6.9094061851501465,31.020000457763672,156.0,10.0,10.530139923095703,12.57150936126709,6.831283092498779,12.072500228881836,14.04993724822998,15.313332557678223,9.0,22.600000381469727
2011-04-12,2.509999990463257,28.3700008392334,26.649999618530273,18.5,6.8533148765563965,29.920000076293945,155.39999389648438,10.0,10.44433879852295,12.57150936126709,6.787175178527832,11.762499809265137,13.959444999694824,15.00333309173584,8.900826454162598,22.149999618530273
2011-04-13,2.4800000190734863,28.479999542236328,26.149999618530273,17.81999969482422,6.990993976593018,29.299999237060547,155.3000030517578,10.0,10.44433879852295,12.522209167480469,6.809228897094727,11.75,14.04993724822998,15.283332824707031,9.0,22.239999771118164
2011-04-14,2.490000009536743,28.280000686645508,25.979999542236328,17.510000228881836,6.9094061851501465,28.81999969482422,160.5,10.0,10.335137367248535,12.620808601379395,6.676904201507568,11.524999618530273,13.968499183654785,15.326665878295898,9.145454406738281,22.170000076293945
2011-04-15,2.5,27.860000610351562,26.530000686645508,17.6299991607666,6.894108772277832,29.639999389648438,163.0,10.0,10.296136856079102,12.57150936126709,6.715498924255371,11.574999809265137,13.846318244934082,15.406665802001953,9.454545021057129,22.15999984741211
2011-04-18,2.4140000343322754,27.84000015258789,26.530000686645508,17.149999618530273,6.894108772277832,28.459999084472656,162.0,10.0,10.276636123657227,12.57150936126709,6.654850006103516,11.699999809265137,14.04541015625,15.666666030883789,9.454545021057129,21.799999237060547
2011-04-19,2.322000026702881,28.149999618530273,25.729999542236328,17.25,6.929802894592285,28.770000457763672,164.39999389648438,10.0,10.140134811401367,12.913323402404785,6.748579978942871,11.9350004196167,14.262611389160156,15.533332824707031,9.586775779724121,21.850000381469727
2011-04-20,2.299999952316284,29.030000686645508,26.290000915527344,17.399999618530273,7.062382221221924,29.479999542236328,155.5,10.0,10.296136856079102,13.028355598449707,6.88641881942749,12.147500038146973,14.113313674926758,15.466666221618652,9.659503936767578,22.15999984741211
2011-04-25,2.319999933242798,29.0,26.18000030517578,17.450000762939453,7.047084808349609,29.350000381469727,152.60000610351562,10.0,10.288336753845215,12.94947624206543,6.831283092498779,12.125,14.19927978515625,15.520000457763672,9.629752159118652,22.729999542236328
2011-04-26,2.3440001010894775,29.399999618530273,26.200000762939453,17.399999618530273,6.970596790313721,29.360000610351562,153.0,10.0,10.428738594055176,12.916608810424805,6.908473014831543,12.145000457763672,14.140475273132324,15.539999961853027,9.586775779724121,23.100000381469727
2011-04-27,2.2760000228881836,29.399999618530273,25.739999771118164,16.700000762939453,6.8533148765563965,28.93000030517578,151.39999389648438,10.0,10.4092378616333,12.883743286132812,6.781661033630371,12.227499961853027,14.298826217651367,15.383333206176758,9.553718566894531,23.190000534057617
2011-04-28,2.200000047683716,28.700000762939453,25.450000762939453,16.200000762939453,6.70543909072876,28.75,147.5,10.0,10.159634590148926,12.78514289855957,6.616254806518555,12.27750015258789,14.344095230102539,15.283332824707031,9.332230567932129,22.799999237060547
2011-04-29,2.259999990463257,28.989999771118164,25.600000381469727,16.149999618530273,7.138869762420654,28.889999389648438,146.0,10.0,10.335137367248535,12.818009376525879,6.698957920074463,12.25,14.570303916931152,15.1899995803833,9.595041275024414,22.899999618530273
2011-05-02,2.2899999618530273,28.889999389648438,25.729999542236328,15.579999923706055,7.286746978759766,28.690000534057617,146.5,10.0,10.159634590148926,12.78514289855957,6.5995588302612305,12.335000038146973,13.529570579528809,15.333333015441895,9.611570358276367,21.299999237060547
