Date,MEGACPO.MX,ALSEA.MX,AC.MX,KIMBERA.MX,AMXL.MX,GRUMAB.MX,GCARSOA1.MX,BIMBOA.MX,GCC.MX,OMAB.MX,PINFRA.MX,GMEXICOB.MX,FEMSAUBD.MX,GAPB.MX,ASURB.MX,TLEVISACPO.MX,CEMEXCPO.MX,GFNORTEO.MX
2013-11-05,43.279998779296875,39.97999954223633,78.08000183105469,39.18000030517578,13.970000267028809,90.9800033569336,69.18000030517578,42.52000045776367,40.189998626708984,42.9900016784668,140.3000030517578,40.189998626708984,118.12999725341797,67.29000091552734,158.74000549316406,79.69999694824219,11.539899826049805,81.19000244140625
2013-11-06,42.779998779296875,39.22999954223633,76.58000183105469,39.34000015258789,14.069999694824219,91.4000015258789,69.33999633789062,43.16999816894531,40.189998626708984,43.029998779296875,144.5399932861328,40.880001068115234,117.9000015258789,67.41999816894531,160.85000610351562,78.2699966430664,11.497099876403809,81.83000183105469
2013-11-07,42.56999969482422,39.83000183105469,76.36000061035156,37.88999938964844,13.960000038146973,92.51000213623047,67.56999969482422,42.56999969482422,40.0,43.25,143.77999877929688,40.90999984741211,117.33000183105469,67.12999725341797,158.60000610351562,77.95999908447266,11.445799827575684,81.1500015258789
2013-11-08,42.279998779296875,39.63999938964844,75.37000274658203,37.7599983215332,13.800000190734863,88.58000183105469,64.83000183105469,41.529998779296875,40.0,43.13999938964844,150.60000610351562,39.939998626708984,118.7300033569336,65.72000122070312,155.75999450683594,75.69000244140625,11.693699836730957,81.23999786376953
2013-11-11,42.88999938964844,38.7599983215332,73.70999908447266,37.310001373291016,13.829999923706055,86.44000244140625,63.810001373291016,40.599998474121094,40.0,42.65999984741211,151.8699951171875,39.2599983215332,118.68000030517578,65.54000091552734,156.6999969482422,77.7699966430664,11.753600120544434,80.31999969482422
2013-11-12,42.779998779296875,38.529998779296875,73.8499984741211,37.0,13.779999732971191,88.62999725341797,61.81999969482422,40.93000030517578,39.790000915527344,42.529998779296875,152.24000549316406,38.38999938964844,118.33000183105469,65.08999633789062,156.55999755859375,77.29000091552734,11.616800308227539,79.29000091552734
2013-11-13,44.459999084472656,38.349998474121094,73.87999725341797,36.65999984741211,13.770000457763672,90.66000366210938,63.029998779296875,41.939998626708984,39.790000915527344,41.41999816894531,152.0399932861328,38.130001068115234,117.05000305175781,65.80000305175781,160.77999877929688,76.9000015258789,11.779199600219727,81.45999908447266
2013-11-14,44.0,40.31999969482422,74.5999984741211,37.91999816894531,13.970000267028809,91.83000183105469,65.55000305175781,42.43000030517578,39.790000915527344,41.720001220703125,152.4600067138672,40.060001373291016,118.2300033569336,65.33000183105469,164.5399932861328,76.7699966430664,11.984399795532227,82.20999908447266
2013-11-15,44.0,40.34000015258789,75.2699966430664,38.29999923706055,14.300000190734863,91.0199966430664,66.9000015258789,42.5099983215332,39.08000183105469,43.08000183105469,153.91000366210938,39.20000076293945,122.66999816894531,66.01000213623047,166.8800048828125,78.01000213623047,12.06980037689209,84.6500015258789
2013-11-19,45.0,40.220001220703125,74.02999877929688,38.33000183105469,14.390000343322754,92.62000274658203,68.37000274658203,41.709999084472656,39.08000183105469,42.45000076293945,156.5800018310547,39.040000915527344,119.22000122070312,65.51000213623047,163.39999389648438,76.51000213623047,11.890299797058105,82.94999694824219
2013-11-20,44.0,40.0099983215332,77.36000061035156,38.33000183105469,14.670000076293945,92.63999938964844,68.79000091552734,40.56999969482422,39.06999969482422,42.9900016784668,158.8000030517578,38.84000015258789,120.30999755859375,64.36000061035156,159.47000122070312,76.2300033569336,11.907400131225586,84.33000183105469
2013-11-21,43.79999923706055,39.56999969482422,78.75,38.04999923706055,14.890000343322754,91.75,66.97000122070312,40.7599983215332,39.47999954223633,43.439998626708984,153.0399932861328,39.13999938964844,119.30000305175781,63.36000061035156,161.38999938964844,76.98999786376953,12.086899757385254,84.98999786376953
2013-11-22,44.0,38.70000076293945,80.94000244140625,38.5099983215332,15.09000015258789,91.63999938964844,66.41000366210938,40.75,38.959999084472656,43.27000045776367,152.99000549316406,38.9900016784668,119.08999633789062,65.56999969482422,162.80999755859375,76.37000274658203,11.83899974822998,85.0
2013-11-25,43.61000061035156,38.529998779296875,80.19000244140625,37.58000183105469,14.800000190734863,89.7699966430664,66.73999786376953,40.68000030517578,39.0,43.56999969482422,148.7100067138672,38.470001220703125,119.7300033569336,65.33999633789062,166.0399932861328,76.88999938964844,11.94159984588623,85.16000366210938
