Date,ABT,ATVI,ALK,ALB,LNT,AEE,AEP,AXP,AIG,AME,AMGN,APH,AOS,APA,AMAT,ADM,T,AVY,BLL,DUK,EA
2010-09-07,24.225101470947266,11.029999732971191,11.494999885559082,42.349998474121094,17.875,28.110000610351562,36.16999816894531,40.09000015258789,35.56999969482422,19.906667709350586,52.5099983215332,11.555000305175781,8.975000381469727,90.36000061035156,10.819999694824219,31.389999389648438,27.270000457763672,34.310001373291016,14.6274995803833,52.02000045776367,16.059999465942383
2010-09-08,24.205909729003906,11.119999885559082,11.329999923706055,42.459999084472656,17.940000534057617,27.709999084472656,36.08000183105469,40.06999969482422,36.279998779296875,20.01333236694336,52.939998626708984,11.72249984741211,8.993332862854004,91.94999694824219,10.579999923706055,31.950000762939453,27.389999389648438,34.439998626708984,14.677499771118164,52.16999816894531,16.25
2010-09-09,24.512981414794922,11.210000038146973,11.582500457763672,41.65999984741211,18.065000534057617,27.739999771118164,36.349998474121094,40.689998626708984,36.290000915527344,19.93777847290039,53.790000915527344,11.5649995803833,8.971667289733887,92.70999908447266,10.779999732971191,31.850000381469727,27.809999465942383,34.4900016784668,14.720000267028809,52.619998931884766,16.280000686645508
2010-09-10,24.728891372680664,11.130000114440918,11.5649995803833,41.040000915527344,17.94499969482422,27.790000915527344,36.630001068115234,40.189998626708984,36.349998474121094,20.031110763549805,54.349998474121094,11.47249984741211,8.993332862854004,93.7300033569336,10.680000305175781,32.720001220703125,27.829999923706055,34.61000061035156,14.850000381469727,52.59000015258789,16.239999771118164
2010-09-13,24.685710906982422,11.239999771118164,11.807499885559082,42.130001068115234,18.18000030517578,28.079999923706055,36.70000076293945,41.220001220703125,36.91999816894531,20.302221298217773,54.400001525878906,11.850000381469727,9.298333168029785,94.5999984741211,10.779999732971191,32.68000030517578,27.93000030517578,35.38999938964844,14.917499542236328,52.97999954223633,16.530000686645508
2010-09-14,24.66651725769043,11.350000381469727,11.859999656677246,42.31999969482422,18.190000534057617,28.149999618530273,36.41999816894531,40.380001068115234,36.130001068115234,20.302221298217773,54.52000045776367,11.857500076293945,9.256667137145996,94.69999694824219,11.109999656677246,32.15999984741211,27.93000030517578,35.31999969482422,14.954999923706055,52.97999954223633,16.709999084472656
2010-09-15,24.786468505859375,11.289999961853027,12.104999542236328,43.25,18.114999771118164,27.799999237060547,36.18000030517578,40.849998474121094,36.15999984741211,20.44444465637207,55.29999923706055,11.835000038146973,9.368332862854004,94.2300033569336,11.039999961853027,32.540000915527344,28.010000228881836,35.470001220703125,14.930000305175781,52.7400016784668,16.639999389648438
2010-09-16,24.76247787475586,10.75,11.984999656677246,43.150001525878906,18.0049991607666,27.559999465942383,36.0,40.959999084472656,35.709999084472656,20.386667251586914,55.099998474121094,11.72249984741211,9.376667022705078,94.30000305175781,11.079999923706055,33.209999084472656,28.110000610351562,35.63999938964844,14.927499771118164,52.709999084472656,16.3799991607666
2010-09-17,24.776872634887695,10.819999694824219,11.739999771118164,43.380001068115234,17.954999923706055,27.420000076293945,35.880001068115234,41.369998931884766,35.63999938964844,20.448888778686523,55.220001220703125,11.837499618530273,9.354999542236328,94.4800033569336,11.020000457763672,32.380001068115234,28.170000076293945,36.150001525878906,14.992500305175781,52.529998779296875,16.260000228881836
2010-09-20,25.07434844970703,10.930000305175781,11.859999656677246,44.18000030517578,18.024999618530273,27.610000610351562,36.34000015258789,43.119998931884766,36.599998474121094,20.697778701782227,55.939998626708984,12.0649995803833,9.576666831970215,96.02999877929688,11.15999984741211,32.95000076293945,28.540000915527344,36.88999938964844,15.005000114440918,53.34000015258789,16.350000381469727
2010-09-21,25.021570205688477,10.9399995803833,12.324999809265137,43.959999084472656,17.889999389648438,27.540000915527344,36.0099983215332,42.779998779296875,36.61000061035156,20.639999389648438,55.75,11.932499885559082,9.641667366027832,96.06999969482422,11.25,32.849998474121094,28.610000610351562,36.560001373291016,14.9375,53.369998931884766,16.290000915527344
2010-09-22,24.944801330566406,11.020000457763672,12.085000038146973,43.630001068115234,17.975000381469727,27.809999465942383,36.43000030517578,42.790000915527344,35.66999816894531,20.440000534057617,56.27000045776367,11.6850004196167,9.475000381469727,95.41999816894531,11.15999984741211,33.38999938964844,28.59000015258789,36.02000045776367,14.852499961853027,53.939998626708984,16.149999618530273
2010-09-23,24.757680892944336,10.899999618530273,11.774999618530273,43.290000915527344,17.780000686645508,27.40999984741211,36.099998474121094,42.36000061035156,35.06999969482422,20.155555725097656,55.720001220703125,11.710000038146973,9.279999732971191,94.98999786376953,11.289999961853027,33.0099983215332,28.510000228881836,35.529998779296875,14.72249984741211,53.279998779296875,16.15999984741211
2010-09-24,24.920812606811523,10.800000190734863,11.96500015258789,44.54999923706055,18.03499984741211,27.959999084472656,36.5,43.130001068115234,36.470001220703125,20.688888549804688,56.31999969482422,12.180000305175781,9.598333358764648,98.12999725341797,11.630000114440918,32.27000045776367,28.579999923706055,36.459999084472656,15.052499771118164,53.970001220703125,16.459999084472656
