Date,SLAB,FNLC,CVCO,BBI,FARM,NVCN,FARO,BBQ,OPTT,EXAS,SCOR,ATEC
2015-10-15,45.880001068115234,20.479999542236328,75.08000183105469,28.0,29.170000076293945,4450.0,36.54999923706055,11.899999618530273,60.0,7.429999828338623,46.9900016784668,4.199999809265137
2015-10-16,45.880001068115234,20.329999923706055,75.33999633789062,27.299999237060547,28.770000457763672,5800.0,35.9900016784668,11.829999923706055,68.0,7.989999771118164,44.54999923706055,4.440000057220459
2015-10-19,46.0,20.530000686645508,76.91999816894531,28.700000762939453,28.90999984741211,6140.0,35.7599983215332,11.880000114440918,70.0,8.279999732971191,45.9900016784668,4.320000171661377
2015-10-20,45.83000183105469,20.65999984741211,75.91999816894531,28.0,28.940000534057617,5930.0,35.779998779296875,11.800000190734863,66.0,7.760000228881836,44.06999969482422,3.9600000381469727
2015-10-21,44.959999084472656,20.200000762939453,77.0,28.0,29.06999969482422,5500.0,34.95000076293945,11.40999984741211,70.0,8.020000457763672,41.029998779296875,3.8399999141693115
2015-10-22,47.0099983215332,20.530000686645508,78.83999633789062,28.700000762939453,29.8700008392334,5310.0,34.88999938964844,11.479999542236328,70.0,8.359999656677246,43.099998474121094,3.9600000381469727
2015-10-23,47.650001525878906,20.65999984741211,81.80000305175781,27.299999237060547,29.979999542236328,5370.0,35.540000915527344,11.460000038146973,66.0,7.920000076293945,43.2400016784668,3.8399999141693115
2015-10-26,46.470001220703125,20.780000686645508,81.04000091552734,26.600000381469727,28.8799991607666,5580.0,34.380001068115234,11.4399995803833,68.0,8.069999694824219,43.04999923706055,3.8399999141693115
2015-10-27,45.25,20.510000228881836,80.55999755859375,28.0,28.309999465942383,5390.0,32.47999954223633,11.34000015258789,62.0,8.109999656677246,42.34000015258789,3.7200000286102295
2015-10-28,49.5099983215332,21.299999237060547,83.62000274658203,27.299999237060547,28.959999084472656,5490.0,33.939998626708984,12.0,60.0,8.25,42.650001525878906,3.7200000286102295
