Date,1038.HK,0027.HK,0003.HK,1044.HK,0241.HK,0002.HK,0101.HK,0012.HK,2628.HK,0006.HK,0016.HK,0267.HK,0883.HK,2319.HK,1093.HK,0386.HK,0669.HK
2012-07-30,46.79999923706055,18.940000534057617,8.266383171081543,70.6296615600586,0.3700000047683716,66.9000015258789,26.600000381469727,22.655929565429688,21.149999618530273,60.95000076293945,96.25,11.020000457763672,15.5,11.425000190734863,1.010416030883789,5.3461527824401855,10.220000267028809
2012-07-31,47.150001525878906,18.700000762939453,8.35947322845459,71.16143798828125,0.36000001430511475,67.0,27.600000381469727,23.194746017456055,21.450000762939453,61.0,96.94999694824219,11.239999771118164,15.720000267028809,11.550000190734863,1.010416030883789,5.415383815765381,10.5
2012-08-01,46.849998474121094,19.040000915527344,8.312928199768066,69.90451049804688,0.36500000953674316,66.8499984741211,27.149999618530273,23.27172088623047,21.600000381469727,61.45000076293945,97.19999694824219,11.279999732971191,15.5,11.324999809265137,1.0208330154418945,5.415383815765381,10.579999923706055
2012-08-02,47.099998474121094,18.979999542236328,8.368782043457031,69.9528579711914,0.36000001430511475,66.80000305175781,26.950000762939453,23.34869384765625,21.25,62.0,97.0,11.220000267028809,15.4399995803833,11.125,1.010416030883789,5.423076152801514,10.34000015258789
2012-08-03,47.099998474121094,19.0,8.303619384765625,71.11309814453125,0.3799999952316284,66.8499984741211,27.299999237060547,23.400009155273438,21.299999237060547,61.75,96.94999694824219,11.15999984741211,15.34000015258789,11.25,1.015625,5.384614944458008,10.140000343322754
2012-08-06,47.150001525878906,19.299999237060547,8.34085464477539,71.78990173339844,0.39500001072883606,66.9000015258789,28.0,24.04145622253418,21.549999237060547,61.0,99.25,11.34000015258789,15.65999984741211,11.425000190734863,1.03125,5.599999904632568,10.760000228881836
2012-08-07,47.20000076293945,19.639999389648438,8.350164413452148,69.66279602050781,0.38999998569488525,67.25,27.799999237060547,24.503299713134766,21.299999237060547,61.04999923706055,99.4000015258789,11.600000381469727,15.859999656677246,11.449999809265137,1.0208330154418945,5.661538124084473,10.239999771118164
2012-08-08,47.20000076293945,19.979999542236328,8.378090858459473,70.04954528808594,0.4099999964237213,66.9000015258789,27.200000762939453,24.298036575317383,21.350000381469727,60.54999923706055,100.19999694824219,11.680000305175781,15.880000114440918,11.475000381469727,0.9947909712791443,5.638461112976074,10.5
2012-08-09,47.79999923706055,20.25,8.378090858459473,69.56610870361328,0.4399999976158142,67.44999694824219,27.700000762939453,24.503299713134766,21.75,60.95000076293945,101.9000015258789,11.760000228881836,16.0,11.375,1.0052080154418945,5.684615135192871,11.180000305175781
2012-08-10,47.95000076293945,19.959999084472656,8.433944702148438,69.46942138671875,0.4300000071525574,67.30000305175781,27.75,24.0927734375,21.850000381469727,61.29999923706055,101.9000015258789,11.760000228881836,15.84000015258789,11.324999809265137,0.9947909712791443,5.669229984283447,10.699999809265137
2012-08-13,48.150001525878906,19.899999618530273,8.433944702148438,69.08267211914062,0.41499999165534973,67.5999984741211,27.850000381469727,24.323694229125977,21.700000762939453,61.95000076293945,105.0,11.779999732971191,15.720000267028809,11.425000190734863,0.9947909712791443,5.661538124084473,10.399999618530273
2012-08-14,48.29999923706055,20.100000381469727,8.536343574523926,69.61444854736328,0.41499999165534973,67.75,27.700000762939453,24.52895736694336,21.899999618530273,62.70000076293945,105.80000305175781,11.859999656677246,15.579999923706055,11.425000190734863,0.9895830154418945,5.746152877807617,10.479999542236328
2012-08-15,48.25,20.549999237060547,8.49910831451416,69.42108154296875,0.4050000011920929,66.0999984741211,27.450000762939453,23.938825607299805,21.149999618530273,63.29999923706055,103.69999694824219,11.579999923706055,15.359999656677246,11.324999809265137,1.125,5.699999809265137,10.479999542236328
2012-08-16,47.650001525878906,21.450000762939453,8.480489730834961,69.61444854736328,0.4050000011920929,65.19999694824219,27.100000381469727,24.118431091308594,21.200000762939453,63.25,102.30000305175781,11.4399995803833,15.279999732971191,11.324999809265137,1.109375,5.699999809265137,10.979999542236328
2012-08-17,47.79999923706055,22.299999237060547,8.564270973205566,70.19457244873047,0.4099999964237213,65.5999984741211,27.25,24.426326751708984,21.450000762939453,61.54999923706055,102.9000015258789,11.180000305175781,15.579999923706055,11.399999618530273,1.213541030883789,5.792306900024414,11.199999809265137
2012-08-20,47.70000076293945,22.5,8.61081600189209,72.2733383178711,0.41499999165534973,65.5,27.299999237060547,24.067115783691406,21.5,62.0,101.69999694824219,11.220000267028809,15.5600004196167,11.350000381469727,1.213541030883789,5.761538028717041,11.720000267028809
2012-08-21,47.150001525878906,22.899999618530273,8.592198371887207,72.85345458984375,0.4050000011920929,65.6500015258789,27.600000381469727,24.195404052734375,21.600000381469727,62.04999923706055,101.69999694824219,11.239999771118164,15.100000381469727,11.425000190734863,1.2395830154418945,5.7076921463012695,11.5
2012-08-22,46.650001525878906,22.25,8.536343574523926,71.83824920654297,0.4099999964237213,65.30000305175781,27.350000381469727,24.04145622253418,21.350000381469727,61.79999923706055,101.30000305175781,11.15999984741211,14.84000015258789,11.475000381469727,1.21875,5.592307090759277,11.680000305175781
2012-08-23,47.099998474121094,22.5,8.61081600189209,72.3216781616211,0.42500001192092896,65.3499984741211,27.700000762939453,25.1704044342041,21.600000381469727,61.599998474121094,103.0,11.220000267028809,14.960000038146973,11.475000381469727,1.291666030883789,5.661538124084473,11.399999618530273
2012-08-24,46.599998474121094,22.5,8.527034759521484,71.06475067138672,0.44999998807907104,65.0999984741211,27.350000381469727,25.1704044342041,21.299999237060547,61.04999923706055,101.9000015258789,11.140000343322754,14.800000190734863,11.449999809265137,1.25,5.515384197235107,11.300000190734863
2012-08-27,46.400001525878906,21.75,8.554962158203125,70.91972351074219,0.4300000071525574,65.0999984741211,26.75,25.119089126586914,20.549999237060547,61.45000076293945,101.9000015258789,10.979999542236328,14.739999771118164,11.5,1.213541030883789,5.699999809265137,11.300000190734863
2012-08-28,47.0,21.899999618530273,8.58288860321045,71.74156188964844,0.42500001192092896,65.0,26.799999237060547,24.785537719726562,20.299999237060547,61.150001525878906,101.5999984741211,10.739999771118164,14.84000015258789,11.550000190734863,1.1875,5.692306995391846,10.9399995803833
2012-08-29,46.70000076293945,22.649999618530273,8.573579788208008,73.91700744628906,0.4099999964237213,64.9000015258789,26.850000381469727,24.811195373535156,20.700000762939453,61.099998474121094,102.80000305175781,10.65999984741211,14.800000190734863,11.725000381469727,1.197916030883789,5.738461017608643,11.680000305175781
2012-08-30,46.599998474121094,22.299999237060547,8.489798545837402,74.0136947631836,0.4000000059604645,64.5999984741211,26.149999618530273,23.9644832611084,20.899999618530273,62.25,99.1500015258789,10.220000267028809,14.739999771118164,11.925000190734863,1.166666030883789,5.699999809265137,11.979999542236328
2012-08-31,46.900001525878906,22.049999237060547,8.508417129516602,75.41565704345703,0.4000000059604645,64.6500015258789,26.5,24.477642059326172,20.75,62.849998474121094,100.5999984741211,9.489999771118164,14.680000305175781,11.675000190734863,1.1458330154418945,5.615384101867676,11.779999732971191
